_id;id_local;id_distrito_local;desc_distrito_local;desc_barrio_local;Nombre;id_periodo_terraza;desc_periodo_terraza;DESC_CLASE;DESC_NOMBRE;;;;;;;;
7;280067128;20;SAN BLAS-CANILLEJAS ;ROSAS               ;SR;2;Estacional;CALLE                   ;SOFIA                                             ;;;;;;;;
32;270068967;4;SALAMANCA           ;RECOLETOS           ;JURUCHA;2;Estacional;CALLE                   ;AYALA                                             ;;;;;;;;
33;270403150;4;SALAMANCA           ;GUINDALERA          ;HONTANARES;1;Anual;AVENIDA                 ;AMERICA                                           ;;;;;;;;
34;270078567;4;SALAMANCA           ;GUINDALERA          ;BAR MARISQUERIA LUIS;1;Anual;CALLE                   ;ALONSO HEREDIA                                    ;;;;;;;;
36;40002021;4;SALAMANCA           ;GUINDALERA          ;SAGAR;2;Estacional;CALLE                   ;ALONSO HEREDIA                                    ;;;;;;;;
40;40002808;4;SALAMANCA           ;RECOLETOS           ;WAGABOO;1;Anual;CALLE                   ;AYALA                                             ;;;;;;;;
41;270495851;4;SALAMANCA           ;RECOLETOS           ;THE JAMES JOYCE IRISH PUB;1;Anual;CALLE                   ;ALCALA                                            ;;;;;;;;
44;40001459;4;SALAMANCA           ;GUINDALERA          ;HOTEL ABBA MADRID;2;Estacional;AVENIDA                 ;AMERICA                                           ;;;;;;;;
50;180000457;18;VILLA DE VALLECAS   ;CASCO H.VALLECAS    ;LA PLAZA;1;Anual;PLAZA                   ;JUAN DE MALASA?A                                  ;;;;;;;;
51;270076142;4;SALAMANCA           ;GUINDALERA          ;EL NUEVO RINC?N DE JA?N;2;Estacional;CALLE                   ;ALCALA                                            ;;;;;;;;
52;270071068;4;SALAMANCA           ;GOYA                ;VIENA CAPELLANES;1;Anual;CALLE                   ;ALCALA                                            ;;;;;;;;
54;280062208;17;VILLAVERDE          ;SAN CRISTOBAL       ;BAR LAS TORRES;2;Estacional;CALLE                   ;MONCADA                                           ;;;;;;;;
56;170000773;17;VILLAVERDE          ;LOS ROSALES         ; KEBAB ARMENIA;2;Estacional;CALLE                   ;VILLAJOYOSA                                       ;;;;;;;;
58;270075832;4;SALAMANCA           ;FUENTE DEL BERRO    ;CAFETERIA PARISIENA;2;Estacional;CALLE                   ;ALCALA                                            ;;;;;;;;
59;40001037;4;SALAMANCA           ;RECOLETOS           ;BAR-RESTAURANTE;1;Anual;CALLE                   ;ALCALA                                            ;;;;;;;;
60;180000598;18;VILLA DE VALLECAS   ;CASCO H.VALLECAS    ;EL RINCON DEL TIO PEPE;1;Anual;CALLE                   ;PE?A DE VARGAS                                    ;;;;;;;;
63;270266255;18;VILLA DE VALLECAS   ;CASCO H.VALLECAS    ;BAR  SAN JULIAN;2;Estacional;CALLE                   ;CONGOSTO                                          ;;;;;;;;
66;200000837;20;SAN BLAS-CANILLEJAS ;SIMANCAS            ;BAR JOSUE;1;Anual;CALLE                   ;MIERES                                            ;;;;;;;;
67;280067055;20;SAN BLAS-CANILLEJAS ;REJAS               ;RESTAURANTE BAR TORRES;1;Anual;COLONIA                 ;OCCIDENTE                                         ;;;;;;;;
68;270201818;17;VILLAVERDE          ;SAN ANDRES          ;BONGO CAFE;2;Estacional;PASEO                   ;ALBERTO PALACIOS                                  ;;;;;;;;
69;270380946;4;SALAMANCA           ;RECOLETOS           ;EL ARBOL Y LA TOSTA;1;Anual;CALLE                   ;ALCALA                                            ;;;;;;;;
72;210000683;21;BARAJAS             ;TIMON               ;BURGER KING;2;Estacional;AVENIDA                 ;LOGRO?O                                           ;;;;;;;;
73;280060978;18;VILLA DE VALLECAS   ;ENSANCHE DE VALLECAS;RESTAURANTE 40 & CUATRO;1;Anual;CALLE                   ;ENTREPE?AS                                        ;;;;;;;;
74;270202022;18;VILLA DE VALLECAS   ;CASCO H.VALLECAS    ;BAR-RESTAURANTE;1;Anual;CALLE                   ;SIERRA GORDA                                      ;;;;;;;;
76;170001120;17;VILLAVERDE          ;BUTARQUE            ;CERVECERIA MINERVA;2;Estacional;CALLE                   ;BERROCAL                                          ;;;;;;;;
77;170000836;17;VILLAVERDE          ;LOS ROSALES         ;BAR DONDE SIEMPRE;1;Anual;PLAZA                   ;CHOZAS DE CANALES                                 ;;;;;;;;
78;170001098;17;VILLAVERDE          ;LOS ROSALES         ;LA PARADA ESQUINA;2;Estacional;CALLE                   ;MARIA BARRIENTOS                                  ;;;;;;;;
79;270228707;17;VILLAVERDE          ;SAN ANDRES          ;BURGUER CAROVI;1;Anual;PASEO                   ;ALBERTO PALACIOS                                  ;;;;;;;;
80;170000967;17;VILLAVERDE          ;LOS ANGELES         ;A GAIVOTI?A II;1;Anual;CALLE                   ;LA DEL MANOJO DE ROSAS                            ;;;;;;;;
81;170000259;17;VILLAVERDE          ;LOS ANGELES         ;PE?A DE FRANCIA;1;Anual;PASEO                   ;TALLERES                                          ;;;;;;;;
82;270456160;17;VILLAVERDE          ;SAN ANDRES          ;LUCKY;1;Anual;PASEO                   ;TALLERES                                          ;;;;;;;;
83;170002005;17;VILLAVERDE          ;LOS ANGELES         ;EL KUBO;1;Anual;CALLE                   ;LA DEL MANOJO DE ROSAS                            ;;;;;;;;
84;270181857;17;VILLAVERDE          ;SAN ANDRES          ;BAR ASTURIAS;1;Anual;PLAZA                   ;MAYOR DE VILLAVERDE                               ;;;;;;;;
85;270379680;17;VILLAVERDE          ;LOS ROSALES         ;LA ABUELA;2;Estacional;AVENIDA                 ;OROVILLA                                          ;;;;;;;;
86;170000257;17;VILLAVERDE          ;LOS ANGELES         ;BAR PEMA;1;Anual;CALLE                   ;PAN Y TOROS                                       ;;;;;;;;
87;270286727;17;VILLAVERDE          ;LOS ANGELES         ;CASA MONICA;1;Anual;CALLE                   ;PAN Y TOROS                                       ;;;;;;;;
88;180000366;18;VILLA DE VALLECAS   ;SANTA EUGENIA       ;EL JARDIN DEL BACO;1;Anual;CALLE                   ;CASTRILLO DE AZA                                  ;;;;;;;;
89;270324826;18;VILLA DE VALLECAS   ;SANTA EUGENIA       ;CERVECERIA LA TOMASA;1;Anual;CALLE                   ;PUENTELARRA                                       ;;;;;;;;
91;270032503;18;VILLA DE VALLECAS   ;SANTA EUGENIA       ;BAR  LA HACIENDA;1;Anual;CALLE                   ;PUENTELARRA                                       ;;;;;;;;
95;270184841;18;VILLA DE VALLECAS   ;SANTA EUGENIA       ;CERVECERIA LA TORRE;1;Anual;CALLE                   ;PUENTELARRA                                       ;;;;;;;;
98;270185092;18;VILLA DE VALLECAS   ;SANTA EUGENIA       ;EL JARDIN DE BACO II;1;Anual;CALLE                   ;FUENTESPINA                                       ;;;;;;;;
101;170000673;17;VILLAVERDE          ;SAN ANDRES          ;ESTUDIO VILLAVERDE ALTO, SL;2;Estacional;PASEO                   ;ALBERTO PALACIOS                                  ;;;;;;;;
102;270456985;17;VILLAVERDE          ;SAN ANDRES          ;LAS BEGONIAS;1;Anual;PASEO                   ;ALBERTO PALACIOS                                  ;;;;;;;;
103;170000832;17;VILLAVERDE          ;LOS ANGELES         ;BAR CASA CONEL;1;Anual;CALLE                   ;ANOETA                                            ;;;;;;;;
104;170001203;17;VILLAVERDE          ;BUTARQUE            ;PASTELERIA PANADERIA CAFETERIA CHICO;2;Estacional;CALLE                   ;CANCHAL                                           ;;;;;;;;
105;170000724;17;VILLAVERDE          ;SAN ANDRES          ;BAR LAS NI?AS;1;Anual;PASEO                   ;ALBERTO PALACIOS                                  ;;;;;;;;
106;270181482;17;VILLAVERDE          ;SAN ANDRES          ;BAR MEZQUITA;1;Anual;CALLE                   ;GRAFITO                                           ;;;;;;;;
107;170000308;17;VILLAVERDE          ;SAN ANDRES          ;BAR RENATO;2;Estacional;CALLE                   ;ALCOCER                                           ;;;;;;;;
108;270020492;17;VILLAVERDE          ;SAN CRISTOBAL       ;PEREZ CAFETERIA;1;Anual;CALLE                   ;BENIMAMET                                         ;;;;;;;;
109;270539656;17;VILLAVERDE          ;BUTARQUE            ;100 MONTADITOS;1;Anual;CALLE                   ;BERROCAL                                          ;;;;;;;;
110;270183511;17;VILLAVERDE          ;LOS ANGELES         ;RESTAURANTE GALLARDO;1;Anual;CALLE                   ;HERMANDAD DE DONANTES DE SANGRE                   ;;;;;;;;
111;270023348;17;VILLAVERDE          ;LOS ANGELES         ;LA ATALAYA;2;Estacional;CALLE                   ;EL HUESPED DEL SEVILLANO                          ;;;;;;;;
112;170000123;17;VILLAVERDE          ;LOS ANGELES         ;ALQUEZAR LA BODEGA DE COTE;1;Anual;CALLE                   ;LA CANCION DEL OLVIDO                             ;;;;;;;;
113;270314735;17;VILLAVERDE          ;BUTARQUE            ;BAR SALINAS;1;Anual;AVENIDA                 ;LOS ROSALES                                       ;;;;;;;;
